id,playerName,playerAge,playerPosition,playerHeight,playerWeight
203084,Harrison Barnes,31,F,203,102
1626168,Trey Lyles,28,F,205,106
1630552,Jalen Johnson,22,F,203,99
1630235,Trent Forrest,25,G,193,95
1641754,Seth Lundy,24,G-F,193,99
1641723,Kobe Bufkin,20,G,195,88
1627749,Dejounte Murray,27,G,195,81
1629027,Trae Young,25,G,185,74
1629631,De'Andre Hunter,26,F-G,203,100
203992,Bogdan Bogdanovic,31,G,195,102
1631100,AJ Griffin,20,F,198,99
203991,Clint Capela,30,C,208,116
1630168,Onyeka Okongwu,23,F-C,208,108
1631243,Mouhamed Gueye,21,F,208,95
1629685,Dylan Windler,27,G-F,200,88
1628981,Bruno Fernando,25,F-C,205,108
1629726,Garrison Mathews,27,G,198,97
1630249,Vit Krejci,23,G,203,88
202083,Wesley Matthews,37,G,195,99
1630180,Saddiq Bey,25,G-F,200,97
1627780,Gary Payton II,31,G,187,88
1630228,Jonathan Kuminga,21,F,200,102
1641764,Brandin Podziemski,21,G,193,92
101108,Chris Paul,39,G,182,79
1630541,Moses Moody,21,G,195,95
1626172,Kevon Looney,28,F,205,100
202691,Klay Thompson,34,G,198,99
1630586,Usman Garuba,22,F,203,103
1630611,Gui Santos,21,F,198,83
1629010,Jerome Robinson,27,G,195,86
203967,Dario Saric,30,F-C,208,102
203952,Andrew Wiggins,29,F,200,89
203110,Draymond Green,34,F,198,104
1631311,Lester Quinones,23,G,193,94
201939,Stephen Curry,36,G,187,83
1631218,Trayce Jackson-Davis,24,F,205,111
1630311,Pat Spencer,27,G,190,92
1631257,Jermaine Samuels Jr.,25,F,198,104
1628988,Aaron Holiday,27,G,182,83
1641708,Amen Thompson,21,G-F,200,90
1629111,Jock Landale,28,C,210,115
1630224,Jalen Green,22,G,193,84
1627832,Fred VanVleet,30,G,182,89
1641715,Cam Whitmore,19,F,200,104
1630256,Jae'Sean Tate,28,F,193,104
1628415,Dillon Brooks,28,G-F,198,102
1631095,Jabari Smith Jr.,21,F,210,99
203500,Steven Adams,30,C,210,120
1630207,Nate Hinton,24,G-F,195,95
1631106,Tari Eason,23,F,203,97
1631466,Nate Williams,25,G,195,92
203493,Reggie Bullock Jr.,33,G-F,198,92
1630578,Alperen Sengun,21,C,210,110
201145,Jeff Green,37,F,203,106
1626246,Boban Marjanovic,35,C,223,131
1641727,Dariq Whitehead,19,F,198,99
1628969,Mikal Bridges,27,G-F,198,94
1629661,Cameron Johnson,28,F,203,95
1628372,Dennis Smith Jr.,26,G,190,92
1629022,Lonnie Walker IV,25,G-F,193,92
1630570,Trendon Watford,23,F,203,107
1627732,Ben Simmons,27,G-F,208,108
1628966,Keita Bates-Diop,28,F,203,103
1631367,Jacob Gilyard,25,G,172,72
1641798,Jaylen Martin,20,G,198,97
203471,Dennis Schroder,30,G,185,79
1630549,Day'Ron Sharpe,22,C,205,120
1641730,Noah Clowney,19,F,205,95
1630592,Jalen Wilson,23,F,198,99
1630560,Cam Thomas,22,G,190,95
1627827,Dorian Finney-Smith,31,F,200,99
1629651,Nic Claxton,25,C,210,97
1630553,Keon Johnson,22,G,195,83
1642013,Malik Williams,25,C,210,113
1631241,Javon Freeman-Liberty,24,G,190,86
1641711,Gradey Dick,20,G-F,198,90
1629667,Jalen McDaniels,26,F,205,86
1630618,D.J. Carton,23,G,190,90
1630567,Scottie Barnes,22,F-G,200,107
1630193,Immanuel Quickley,24,G,187,86
1629628,RJ Barrett,23,F-G,198,97
1628971,Bruce Brown,27,G-F,193,91
1629670,Jordan Nwora,25,F,203,102
1631338,Mouhamadou Gueye,25,F,205,95
202066,Garrett Temple,38,G-F,195,88
1627751,Jakob Poeltl,28,C,213,117
1628449,Chris Boucher,31,F,205,90
1630534,Ochai Agbaji,24,G,195,97
1629018,Gary Trent Jr.,25,G,195,92
203482,Kelly Olynyk,33,F-C,210,108
203903,Jordan Clarkson,31,G,190,87
1641707,Taylor Hendricks,20,F,205,97
1629012,Collin Sexton,25,G,190,86
1641718,Keyonte George,20,G,193,83
1629659,Talen Horton-Tucker,23,G,193,106
1641729,Brice Sensabaugh,20,F,195,106
1630554,Jason Preston,24,G,190,82
1627739,Kris Dunn,30,G,190,92
1630184,Kira Lewis Jr.,23,G,185,77
1629677,Luka Samanic,24,F,208,102
1628381,John Collins,26,F-C,205,102
1628374,Lauri Markkanen,27,F-C,213,108
1631117,Walker Kessler,22,C,213,111
1630695,Micah Potter,26,C,205,112
1629647,Darius Bazley,23,F,205,97
1630548,Johnny Juzang,23,G,195,94
1631254,Kenneth Lofton Jr.,21,F,198,124
1630209,Omer Yurtseven,25,C,210,124
1630692,Jordan Goodwin,25,G,193,90
1630590,Scotty Pippen Jr.,23,G,185,77
1631222,Jake LaRavia,22,F,200,106
1631246,Vince Williams Jr.,23,G,193,92
1630583,Santi Aldama,23,F-C,213,97
1630533,Ziaire Williams,22,F,205,83
1628379,Luke Kennard,27,G,195,93
1629630,Ja Morant,24,G,187,78
1628991,Jaren Jackson Jr.,24,F-C,208,109
1629634,Brandon Clarke,27,F,203,97
1629139,Yuta Watanabe,29,G-F,205,97
1630217,Desmond Bane,25,G,195,97
201565,Derrick Rose,35,G,190,90
1630205,Lamar Stevens,26,F,200,104
203935,Marcus Smart,30,G,190,99
1641713,GG Jackson,19,F,205,95
1629723,John Konchar,28,G,195,95
1641998,Trey Jemison,24,C,208,117
1628970,Miles Bridges,26,F,200,102
1630163,LaMelo Ball,22,G,200,81
1629684,Grant Williams,25,F,198,107
1630208,Nick Richards,26,C,213,111
1631109,Mark Williams,22,C,213,108
1631121,Bryce McGowens,21,G,198,79
1641733,Nick Smith Jr.,20,G,187,83
202722,Davis Bertans,31,F,208,102
1641735,Amari Bailey,20,G,190,83
1628998,Cody Martin,28,F,198,92
1641778,Leaky Black,24,F,198,94
1629716,Marques Bolden,26,C,208,112
1630197,Aleksej Pokusevski,22,F,213,95
1630550,JT Thor,21,F,205,92
203995,Vasilije Micic,30,G,190,85
1630544,Tre Mann,23,G,190,80
1641706,Brandon Miller,21,F,200,90
203552,Seth Curry,33,G,185,83
1630564,RaiQuan Gray,24,F,200,122
1641705,Victor Wembanyama,20,F-C,223,95
1629640,Keldon Johnson,24,F-G,195,99
1628984,Devonte' Graham,29,G,185,88
1631110,Jeremy Sochan,21,F,203,104
1631104,Blake Wesley,21,G,190,83
1626224,Cedi Osman,29,F,200,104
1631123,Jamaree Bouyea,24,G,187,81
1631103,Malaki Branham,21,F,193,81
1628380,Zach Collins,26,F-C,210,113
1630170,Devin Vassell,23,G-F,195,90
1631321,Sidy Cissoko,20,G,198,90
1631230,Dominick Barlow,21,F,205,97
1629646,Charles Bassey,23,C-F,208,104
1630561,David Duke Jr.,24,G,193,92
1630577,Julian Champagnie,22,F,200,98
1630200,Tre Jones,24,G,185,83
1630572,Sandro Mamukelashvili,25,F-C,205,108
1641774,Tristan Vukcevic,21,F,208,99
1641731,Bilal Coulibaly,19,G,203,88
1631098,Johnny Davis,22,G,193,88
1630215,Jared Butler,23,G,190,87
1626145,Tyus Jones,28,G,185,88
1631116,Patrick Baldwin Jr.,21,F,205,99
1630166,Deni Avdija,23,F,205,95
1629673,Jordan Poole,24,G,193,87
1631262,Jules Bernard,24,G,198,95
1630264,Anthony Gill,31,F,203,104
1629013,Landry Shamet,27,G,193,86
1626158,Richaun Holmes,30,F,205,106
1630557,Corey Kispert,25,F,198,101
1628398,Kyle Kuzma,28,F,205,100
1628963,Marvin Bagley III,25,F,208,106
1630647,Eugene Omoruyi,27,F,198,106
1630551,Justin Champagnie,22,G-F,198,93
1630703,Scoot Henderson,20,G,190,91
1629014,Anfernee Simons,24,G,190,87
1629028,Deandre Ayton,25,C,213,112
1629680,Matisse Thybulle,27,G-F,195,91
1630625,Dalano Banton,24,F,203,92
1631200,Kris Murray,23,F,203,95
203924,Jerami Grant,30,F,200,95
1629650,Moses Brown,24,C,218,117
1627763,Malcolm Brogdon,31,G,193,103
1631101,Shaedon Sharpe,20,G,195,92
1630204,Ashton Hagans,24,G-F,190,86
1631303,Justin Minaya,25,F,195,92
1641871,Duop Reath,27,C,205,111
1641739,Toumani Camara,24,F,200,102
1631133,Jabari Walker,21,F,200,102
1629057,Robert Williams III,26,C-F,205,112
1630641,Ibou Badji,21,C,213,108
1641712,Rayan Rupert,19,G-F,198,83
1631105,Jalen Duren,20,C,208,113
1630595,Cade Cunningham,22,G,198,99
1629002,Chimezie Metu,27,F-C,208,102
1628972,Troy Brown Jr.,24,G-F,200,97
1631197,Jared Rhoden,24,G,195,95
1641709,Ausar Thompson,21,G-F,198,92
1630164,James Wiseman,23,C,210,108
1630649,Stanley Umude,25,G,198,95
1630201,Malachi Flynn,26,G,185,83
1641787,Tosan Evbuomwan,23,F,200,98
1631323,Simone Fontecchio,28,F,200,94
1631093,Jaden Ivey,22,G,193,88
1629656,Quentin Grimes,24,G,195,95
1631204,Marcus Sasser,23,G,187,88
1631205,Buddy Boeheim,24,F,195,92
1630191,Isaiah Stewart,23,F-C,203,113
203095,Evan Fournier,31,G-F,198,92
201959,Taj Gibson,38,F,205,105
